State,District,Margin Final
Telangana,Adilabad,11.73%
Uttar Pradesh,Agra,16.03%
Maharashtra,Ahmadnagar,16.33%
Gujarat,Ahmedabad East,28.80%
Gujarat,Ahmedabad West,26.23%
Rajasthan,Ajmer,19.27%
Uttar Pradesh,Akbarpur,20.17%
Maharashtra,Akola,18.07%
Kerala,Alappuzha,3.07%
Kerala,Alathur,7.37%
Uttar Pradesh,Aligarh,16.33%
West Bengal,Alipurduars,10.50%
Uttar Pradesh,Allahabad,11.33%
Uttarakhand,Almora,16.50%
Rajasthan,Alwar,24.43%
Andhra Pradesh ,Amalapuram,5.97%
Haryana,Ambala,18.53%
Uttar Pradesh,Ambedkar Nagar,8.37%
Uttar Pradesh,Amethi,25.10%
Maharashtra,Amravati,8.47%
Gujarat,Amreli,16.20%
Punjab,Amritsar,7.53%
Uttar Pradesh,Amroha,10.93%
Andhra Pradesh ,Anakapalli,5.47%
Gujarat,Anand,11.43%
Punjab,Anandpur Sahib,4.63%
Andhra Pradesh ,Anantapur,7.80%
Jammu & Kashmir,Anantnag,8.10%
Andaman & Nicobar Islands,Andaman And Nicobar Islands,2.20%
Uttar Pradesh,Aonla,8.60%
Tamil Nadu,Arakkonam,20.93%
West Bengal,Arambagh,14.30%
Tamil Nadu,Arani,18.37%
Bihar ,Araria,9.93%
Bihar ,Arrah,14.07%
Andhra Pradesh ,Aruku,18.37%
Arunachal Pradesh,Arunachal East,20.13%
Arunachal Pradesh,Arunachal West,20.57%
West Bengal,Asansol,10.13%
Orissa,Aska,29.40%
Kerala,Attingal,4.80%
Maharashtra,Aurangabad,7.47%
Bihar ,Aurangabad,9.37%
Assam,Autonomous District,19.57%
Uttar Pradesh,Azamgarh,12.97%
Uttar Pradesh,Badaun,7.43%
Karnataka,Bagalkot,9.63%
Uttar Pradesh,Baghpat,11.13%
West Bengal,Baharampur,18.90%
Uttar Pradesh,Bahraich,10.27%
Madhya Pradesh ,Balaghat,10.53%
Orissa,Balasore,6.33%
Uttar Pradesh,Ballia,9.03%
West Bengal,Balurghat,4.50%
Gujarat,Banaskantha,19.27%
Uttar Pradesh,Banda,8.27%
Karnataka,Bangalore Cent,7.63%
Karnataka,Bangalore Nort,10.80%
Karnataka,Bangalore Rura,13.50%
Karnataka,Bangalore Sout,17.50%
West Bengal,Bangaon,9.30%
Bihar ,Banka,8.53%
West Bengal,Bankura,10.53%
Uttar Pradesh,Bansgaon,15.17%
Rajasthan,Banswara,18.30%
Andhra Pradesh ,Bapatla,3.57%
Uttar Pradesh,Barabanki,17.30%
Maharashtra,Baramati,21.43%
Jammu & Kashmir,Baramulla,9.20%
West Bengal,Barasat,11.17%
West Bengal,Bardhaman Purb,6.73%
Gujarat,Bardoli,11.13%
Uttar Pradesh,Bareilly,13.53%
Orissa,Bargarh,5.60%
Rajasthan,Barmer,15.03%
Assam,Barpeta,5.50%
West Bengal,Barrackpore,9.13%
West Bengal,Basirhat,12.93%
Chhattisgarh,Bastar,12.77%
Uttar Pradesh,Basti,6.57%
Punjab,Bathinda,8.13%
Maharashtra,Beed,10.30%
Bihar ,Begusarai,15.70%
Karnataka,Belgaum,18.77%
Karnataka,Bellary,6.33%
Orissa,Berhampur,16.37%
Madhya Pradesh ,Betul,19.30%
Uttar Pradesh,Bhadohi,7.60%
Orissa,Bhadrak,3.10%
Bihar ,Bhagalpur,16.00%
Maharashtra,Bhandara - Gon,21.93%
Rajasthan,Bharatpur,18.93%
Gujarat,Bharuch,11.43%
Gujarat,Bhavnagar,21.57%
Rajasthan,Bhilwara,28.97%
Madhya Pradesh ,Bhind,15.43%
Maharashtra,Bhiwandi,11.73%
Haryana,Bhiwani-Mahend,19.10%
Telangana,Bhongir,5.10%
Madhya Pradesh ,Bhopal,22.87%
Orissa,Bhubaneswar,19.73%
Karnataka,Bidar,8.40%
Karnataka,Bijapur,12.30%
Uttar Pradesh,Bijnor,9.93%
Rajasthan,Bikaner,20.17%
Chhattisgarh,Bilaspur,10.17%
West Bengal,Birbhum,5.80%
West Bengal,Bishnupur,9.87%
Orissa,Bolangir,6.47%
West Bengal,Bolpur,12.40%
Uttar Pradesh,Bulandshahr,25.83%
Maharashtra,Buldhana,10.50%
West Bengal,Burdwan - Durg,5.93%
Bihar ,Buxar,9.07%
Kerala,Chalakudy,8.00%
Karnataka,Chamarajanagar,4.33%
Uttar Pradesh,Chandauli,5.80%
Chandigarh,Chandigarh,14.30%
Delhi,Chandni Chowk,20.97%
Maharashtra,Chandrapur,9.50%
Jharkhand,Chatra,23.07%
Telangana,Chelvella,2.77%
Tamil Nadu,Chennai Centra,16.50%
Tamil Nadu,Chennai North,20.73%
Tamil Nadu,Chennai South,13.47%
Madhya Pradesh ,Chhindwara,9.37%
Gujarat,Chhota Udaipur,16.83%
Tamil Nadu,Chidambaram,7.83%
Karnataka,Chikkballapur,6.37%
Karnataka,Chikkodi,5.50%
Karnataka,Chitradurga,10.60%
Andhra Pradesh ,Chittoor,5.03%
Rajasthan,Chittorgarh,25.23%
Rajasthan,Churu,17.60%
Tamil Nadu,Coimbatore,7.53%
West Bengal,Cooch Behar,4.37%
Tamil Nadu,Cuddalore,12.50%
Orissa,Cuttack,23.93%
Dadra & Nagar Haveli,Dadra And Nagar Haveli,2.97%
Gujarat,Dahod,16.20%
Karnataka,Dakshina Kanna,12.10%
Daman & Diu,Daman And Diu,19.50%
Madhya Pradesh ,Damoh,21.87%
Bihar ,Darbhanga,13.50%
West Bengal,Darjeeling,25.37%
Rajasthan,Dausa,9.57%
